uuid,region,settlement,brand,krs_name_s,n_city,d_1,d_road,d_city,popul_dens
005056ba-7cb6-1ed2-bceb-be91db708d4e,['Sachsen'],Landkreis,STAR,['Nordsachsen'],Leipzig,"1662","13228","21819","98"
005056ba-7cb6-1ed2-bceb-bf5b71a7ed50,['Sachsen'],Landkreis,STAR,['Mittelsachsen'],Chemnitz,"1696","1969","12699","146"
f80cc073-157b-4dc9-9582-5c9d538c0e1f,['Sachsen'],Landkreis,ARAL,['Nordsachsen'],Leipzig,"1123","564","7758","98"
4523af2f-3535-47ed-b467-bcb6fe6806d6,['Sachsen'],Landkreis,BFT,['Landkreis Erzgebirgskreis'],Chemnitz,"6561","26123","41490","186"
0868c839-f0cd-4ceb-a53c-4a6de271b606,['Sachsen'],Landkreis,Marktkauf,['Bautzen'],Dresden,"391","816","52358","126"
005056ba-7cb6-1ed2-bceb-c9e3cf8d8d54,['Sachsen'],Stadtkreis,STAR,['Dresden'],Dresden,"1570","1728","4955","1726"
005056ba-7cb6-1ed2-bceb-c01e75192d50,['Sachsen'],Stadtkreis,STAR,['Leipzig'],Leipzig,"292","3785","3395","2087"
2e679868-dea6-496e-a1dd-81221e067fa1,['Sachsen'],Landkreis,Shell,['Mittelsachsen'],Chemnitz,"1259","4079","34697","146"
005056ba-7cb6-1ed2-bceb-c06116ffad50,['Sachsen'],Stadtkreis,STAR,['Leipzig'],Leipzig,"740","5819","5714","2087"
005056ba-7cb6-1ed2-bceb-c09bb8a08d50,['Sachsen'],Landkreis,STAR,['Leipzig'],Leipzig,"2316","5664","10795","2087"
005056ba-7cb6-1ed2-bceb-c0defacf8d50,['Sachsen'],Landkreis,STAR,['Bautzen'],Dresden,"2416","5810","12882","126"
005056ba-7cb6-1ed2-bceb-c115e44f8d50,['Sachsen'],Landkreis,STAR,['Landkreis Erzgebirgskreis'],Chemnitz,"207","342","17207","186"
5ab69944-a2de-4f9d-ba68-5b7e18df1d5f,['Sachsen'],Landkreis,Supermarkt,['Zwickau'],Chemnitz,"562","4982","30616","337"
5b65b4ff-7674-4ab8-abdf-b7ac471899c7,['Sachsen'],Landkreis,AVIA,['Landkreis Erzgebirgskreis'],Chemnitz,"1063","3650","19056","186"
005056ba-7cb6-1ed2-bceb-c187123a0d50,['Sachsen'],Stadtkreis,STAR,['Chemnitz'],Chemnitz,"1005","3602","4509","1134"
68ac3e4b-aadd-4589-8b81-88e1020f01e9,['Sachsen'],Stadtkreis,ARAL,['Chemnitz'],Chemnitz,"83","697","4112","1134"
005056ba-7cb6-1ed2-bceb-c21c941fad50,['Sachsen'],Stadtkreis,STAR,['Chemnitz'],Chemnitz,"2651","3133","5659","1134"
005056ba-7cb6-1ed2-bceb-c359dd860d50,['Sachsen'],Stadtkreis,STAR,['Leipzig'],Leipzig,"713","5846","8479","2087"
8f9cc8c1-b276-4a45-a559-410148f9f63b,['Sachsen'],Landkreis,ARAL,['Landkreis Erzgebirgskreis'],Chemnitz,"197","25441","27616","186"
005056ba-7cb6-1ed2-bceb-c523c4038d53,['Sachsen'],Landkreis,STAR,['Bautzen'],Dresden,"3852","11697","40524","126"
005056ba-7cb6-1ed2-bceb-c5bca24bcd53,['Sachsen'],Landkreis,STAR,['Nordsachsen'],Leipzig,"5718","28222","36467","98"
005056ba-7cb6-1ed2-bceb-c6e8560e6d53,['Sachsen'],Landkreis,STAR,['Meißen'],Dresden,"2340","20675","44660","167"
005056ba-7cb6-1ed2-bceb-c7a02f350d53,['Sachsen'],Landkreis,STAR,['Landkreis Erzgebirgskreis'],Chemnitz,"1063","4207","19386","186"
f6a18beb-1778-4a96-9017-7a41fcee10ed,['Sachsen'],Landkreis,Supermarkt,['Meißen'],Dresden,"1538","2952","7978","167"
005056ba-7cb6-1ed2-bceb-c7d7f7828d53,['Sachsen'],Stadtkreis,ORLEN,['Leipzig'],Leipzig,"1565","4234","5932","2087"
c3eb677a-0f3f-430f-934e-aed6e04b9c38,['Sachsen'],Landkreis,Shell,['Meißen'],Dresden,"5185","7775","25974","167"
005056ba-7cb6-1ed2-bceb-c846a4f64d53,['Sachsen'],Landkreis,STAR,['Meißen'],Dresden,"1546","20032","43961","167"
005056ba-7cb6-1ed2-bceb-c85ea37cad54,['Sachsen'],Landkreis,STAR,['Landkreis Erzgebirgskreis'],Chemnitz,"1078","18626","13647","186"
7fe3c975-298e-4cbd-9903-b9a2f35af8f0,['Sachsen'],Stadtkreis,ARAL,['Dresden'],Dresden,"2173","5786","7821","1726"
f54c9d8b-0bf3-46ab-ad91-3e2b064382f5,['Sachsen'],Stadtkreis,TotalEnergies,['Leipzig'],Leipzig,"1399","7818","3643","2087"
1df669c4-eb22-4902-b819-7346a9abb727,['Sachsen'],Landkreis,TotalEnergies,['Mittelsachsen'],Chemnitz,"4159","10375","30207","146"
9734da8d-6bfe-4eaf-9739-751f0236b85e,['Sachsen'],Landkreis,OIL! (Automatenstation),['Leipzig'],Leipzig,"1908","13689","25777","2087"
